Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
595;Christ Crowned with Thorns - Escorial;Anonymous;1530 - 1550;Oil on panel;165 x 195
596;Christ Crowned with Thorns - Houston (USA);Anonymous;15/16th century;Oil on panel;68,6 x 52,7
597;Christ Crowned with Thorns - London - Art Dealer Koetzer;Anonymous;16th-century;Oil on panel;91 x 66
598;Christ Crowned with Thorns - New York - Sotheby's;Anonymous;16th-century;Oil on Panel;63 x 51
599;Christ Crowned with Thorns - New York - Sotheby's;Anonymous;;Oil on Panel;85,1 x 61,3
600;Christ Crowned with Thorns - Paris - Art Dealer Pollak;Anonymous;;Oil on panel;60 x 50,5
601;Christ Crowned with Thorns - Philadelphia;Anonymous;16th century;Oil and gold on panel;67,6 x 51,8
602;Christ Crowned with Thorns - Private collection;Anonymous;16th-century;Oil on panel;73 x 46
603;Christ Crowned with Thorns - Whereabouts unknown;Anonymous;16th-century;Oil on panel;
604;Christ Crowned with Thorns - with Founders Portret - Antwerp;Jan van Scorel (1495 - 1562) - or circle (website ‘hum.uu.nl);1510-1530;Oil on oak panel;83 x 68
605;Christ Crowned with Thorns - Zurich;Anonymous;;Oil on panel;34,8 x 28,6
606;Christ Crowned with Thorns Triptych - Valencia;Anonymous;1520 - 1535;Oil on wood;137 x 169 central panel; 151 x 83 side-panels
607;Christ Descent into Limbo or Hell - Amsterdam - Christies;Bruegel, Jan the Younger (1601 -1678) - Circle;;Oil on copper;17,9 x 25,6
608;Christ's Descent into Limbo - Antwerp - Hartveld;Anonymous;;Wood;63 x 89
609;Christ's Descent into Limbo - Cologne;Anonymous;1500-1549;Oil on panel;29,5 x 42,5
610;Christ's Descent into Limbo - Detroit;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);16th century;Oil on oak panel;14 x 11,1; with frame 24,8 x 21,3
611;Christ's Descent into Limbo - Dublin;Anonymous Flemish painter;1550-1570;Oil on wood;36,2 x 61,7
612;Christ's Descent into Limbo - Dunwood Manor (Romsey);Anonymous;1500 -1549;Oil on panel;42 x 31,5
613;;Anonymous;;Panel;43,6 x 58,3
614;;Anonymous;;Panel;52,8 x 73,7
615;Christ's Descent into Limbo - Genoa;Anonymous;;Oil on wood;47 x 64
616;Christ's Descent into Limbo - Hamburg;Anonymous;16th century;Oil on panel;20,2 x 34
617;Christ's Descent into Limbo - Indianapolis;Huys, Pieter (1519 - 1581) or Follower;c. 1575;Oil on wood;58,1 x 72,1
618;Christ's Descent into Limbo - Karlsruhe;Anonymous - probably Herri met de Bles;1530-1560;Oil on panel;16 x 32,5
619;Christ's Descent into Limbo - Leipzig;Anonymous - circle Jheronimus Bosch;1510 -1520;Oil on paper;28,9 x 20,5
620;Christ's Descent into Limbo - London;Anonymous;1540-156-;Oil on panel;59,4 x 81
621;Christ's Descent into Limbo - London;Huys, Pieter (1519 - 1581) - Possibly;16th-century;;
622;Christ's descent into Limbo - London - Christies;Huys, Pieter (1519 - 1581);1545 - 1577;Oil on wood;85 x 114,3
623;Christ's Descent into Limbo - London - Christies;Anonymous;;Oil on panel;37 x 53,3
624;Christ's descent into Limbo - London - Christies;Mandijn Jan (c. 1500 - 1560) or circle;C. 1520 - 1550;Oil on panel;45,4 x 71,2
625;Christ's Descent into Limbo - London - Christies;Herri met de Bles (c. 1480/1510 - c. 1550/1555);1530-1540;;
626;Christ's Descent into Limbo - London - Christies;Huijs, Pieter (1519 - 1581);;Oil on panel;53,8 x 67,9
627;Christ's Descent into Limbo - London - Christies;Bles, Herri met de (c.1480/1510 - c. 1550/1555);1540 - 1550;Oil on panel;21,3 x 33.7
628;Christ's Descent into Limbo - London - Christies 2010;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on copper;32,2 x 45,1
629;Christ's Descent into Limbo - London - Christies 2020;Anonymous;1500-1516;Oil on panel;22 x 36,7 with later additions of approx. 1 cm. on each side.
630;Christ's Descent into Limbo - London - Christies 2022;;;;
631;Christ's Descent into Limbo - London - Christies 2022;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on copper;31,5 x 44,5
632;Christ's Descent into Limbo - London - Sotheby's;Anonymous - Leidens school;c. 1530;Oil on oak panel;26,7 x 36,5
633;Christ's Descent into Limbo - London - Sotheby's;Anonymous;After 1515;Oil on wood;44 x 58,3
634;Christ's Descent into Limbo - London - Sotheby's;Anonymous;16th century;Oil on oak;33,2 x 45,9
635;Christ's Descent into Limbo - London - van Haeften;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);;Oil on panel;15,5 x 50
636;Christ's Descent into Limbo - Long Beach;Anonymous;c. 1560;Oil on panel;
637;Christ's Descent into Limbo - Mexico City;Mostaert, Gillis (1528-1598);;Oil on panel;42 x 31,5
638;Christ's Descent into Limbo - Munich;Mostaert, Gillis (1528 - 1598);;Oil on wood;50 x 61,5
639;Christ's descent into Limbo - Munich;Huys, Pieter (1519 - 1581);;Oil on wood;50 x 70
640;Christ's Descent into Limbo - New York;Anonymous;1530 - 1560;Oil on panel;53,3 x 116,8
641;Christ's Descent into Limbo - New York - Christies;Herri met de Bles (c. 1480/1510 - c. 1550/1555) - Circle;;Oil on Panel, circular;31,7 diameter
642;Christ's Descent into Limbo - New York - Sotheby's;Mandijn Jan (c. 1500 - 1560) or follower;;Oil on wood;45,1 x 60,3
643;Christ's Descent into Limbo - New York - Sotheby's 2021;Anonymous;16th-century;Oil on panel;38,4 x 51,5
644;Christ's Descent into Limbo - Paris - Piasa;Anonymous;16th century;Oil on cradled oak Panel;69,5 x 34
645;Christ's Descent into Limbo - Paris - Tajan;Anonymous - Maybe Jacob Swanenburgh (Unverfehrt);c. 1550;Oil on panel;19 x 50,5
646;Christ's Descent into Limbo - Paris (France) - Marie-Francoise Robert Auction;Jan Mandijn (c. 1500 - 1560);1530 -1560;Oil on panel;33 x 47
647;Christ's Descent into Limbo - Philadelphia;Anonymous;c. 1520;Oil on wood;54,6 x 41,4
648;Christ's Descent into Limbo - Private collection Brussels;Jan Mandijn (c. 1500-1560) - school of;;;
649;Christ's Descent into Limbo - Rome;Jan Bruegel - Jan the Elder (1568 - 1625);c. 1594;Oil on copper;25,2 x 34,7
650;Christ's Descent into Limbo - Sotheby's;Anonymous;;;
651;Christ's Descent into Limbo - Springfield;Anonymous;;;
652;Christ's Descent into Limbo - The Hague;Bruegel, Jan the Elder (1568 - 1625) and Hans Rottenhammer (1564 - 1625);1597;Oil on copper;26,5 x 35,5
653;Christ's Descent into Limbo - Tournai / Doornik;Mostaert, Gillis (1528 - 1598);;Oil on wood;32 x 42
654;Christ's Descent into Limbo - Vienna;Bruegel, Pieter the Elder (1525 - 1569);1561;Pen and brown ink on paper;22,3 x 29,4
655;Christ's Descent into Limbo - Vienna;Jan Mandijn (c. 1500-1560) or Circle;;Oil on panel;56,2 x 39,4
656;Christ's descent into Limbo - Vienna;Anonymous;c. 1550;Oil on panel;55 x 74
657;Christ's Descent into Limbo - Vienna - Dorotheum;Jan Mandijn (c. 1500-1560);Before 1550;Oil on panel;72 x 101
658;Christ's Descent into Limbo - Warsaw;Jan Mandijn (c. 1500 - 1560) or Herrie met de Bles (c. 1480/1510 - c. 1555);c. 1550;Oil on panel;13.7 x 10,2
659;Christ's Descent into Limbo - Warwickshire;Huys, Pieter (1519 - 1581);1547 - 1577;Oil on panel;42,5 x 53,4
660;Christ's Descent into Limbo - Zurich - Koller;Anonymous;c. 1600;Oil on panel;19.6 x 58,7
661;Christ's Descent into Limbo and Hell - Berlin;Masters of the Antwerp sketch-book;;Paper, pen in grey-brown ink.;26,0 x 19,0
662;Christ's Dispute with the Doctors in the Temple - Valencia;Anonymous - possibly Fielis Panhedel (1490 - after 1557);c. 1545 or later;Oil on panel;75 x 60
663;Christ's Flagellation - Dublin;Anonymous;1500-1549;Oil on wood;70,7 x 56,7
664;Christ’s Descent into Limbo - Brussels;Anonymous;1526-1600;;
665;Christ’s Descent into Limbo - Brussels;Gilles Mostaert (1528-1598);1579;Oil on wood;45,5 x 81,5
666;Christ’s Descent into Limbo - Dresden;Antoon Wierix (1552-1604) - After Maarten or Maerten de Vos;;;18,8 x 14,9
667;Christ’s Descent into Limbo - Grimbergen;Antoon Wierix (1552-1604);1591-1610;Paper - ink;18,4 x 15,2
668;Christ’s Descent into Limbo - London - Christies;Anonymous;1500-1549;Oil on panel;52,8 x 73,7
669;Christ’s Descent into Limbo - London - Matthiesen Gallery;Anonymous;16th-century;Oil on panel;
670;Christ’s Descent into Limbo - Paris;Anonymous;Before 1550;Oil on panel;34 x 43,5
671;Christ’s Descent into Limbo - Paris - De Jonckheere;Pieter Huys (1519-1581);;;42,5 x 53,4
672;Christ’s Descent into Limbo - Prague;Anonymous;;;
673;Christ’s Descent into Limbo - Prague;Anonymous;c. 1600;Oil on panel;169,5 x 123
674;Christ’s Descent into Limbo - Private collection;Jan Mandijn (c. 1500-1560) - or school of Jan Mandijn;;;
675;Christ’s Descent into Limbo - Venice;Anonymous;1530-1550;;
676;Christ’s Descent into Limbo - Vienna;Anonymous;1501-1525;Oil on panel;100 x 74
677;Christ’s Descent into Limbo - Vienna - Kinsky - 2021;Anonymous;16th-century;Oil on wood;96 x 132
678;Christ’s Descent into Limbo - Worcester;Gillis Mostaert (1528-1598) - circle;Late 16th century;;
679;Christ’s Descent into Limbo - Zagreb;Anonymous;;Oil and gold on oak panel;64,2 x 104,5
680;Christ’s Dispute with the Doctors in the Temple - Grosschonau (Germany);Monogrammist S.P. (according Wikimedia);c. 1530;Tempera on oak;86,5 x 74
681;Christ’s Dispute with the Doctors in the Temple - London - Art Dealer Duits;Anonymous;16th century;Oil on panel;71,2 x 55
682;Christ’s Dispute with the Doctors in the Temple - Munich;Anonymous;16/17th-century;Oil on wood;78 x 60
683;Christ’s Dispute with the Doctors in the Temple - Paris;Anonymous;c. 1550 - 1600;Oil on panel;74 x 58
684;Christ’s Dispute with the Doctors in the Temple - Philadelphia;Anonymous;16th century;Oil on wood;67 x 57 (RKD 69,2 x 58,3)
685;Christ’s Dispute with the Doctors in the Temple - Philadelphia;Anonymous;16th-century;Oil on wood;69,2 x 58,3
686;Christ’s Dispute with the Doctors in the Temple - Private collection;Anonymous;1550-1560;Oil on panel;
687;Christ’s Dispute with the Doctors in the Temple - Settigano;Anonymous;16th century;Oil on wood;60 x 71,5
688;Christ’s Dispute with the Doctors in the Temple (fragment) - Enschede;Anonymous;1550-1600;Oil on panel;69,2 x 58,3
689;Christ’s Flagellation / Christ Carrying the Cross (wings of a triptych) - Philadelphia;Anonymous;1505 -1515;Oil and gold on panel;106,8 x 33,5 (left panel); 106,2 x 33,6 (right panel)
690;Christopher - New York - Christies 2021;Jan Wellens de Cock (1480-1527) - Probablly;;;56 x 93
691;Christopher - The Temptations of St - Brussels;Huys, Pieter (1519 - 1581);;Oil on wood;115 x 95
692;Christopher Carrying the Christ Child - Prague;Master of Frankfurt, The (1460 - 1533);1501-1550;Oil on oak panel;84,7 x 55,5
693;Christopher Carrying the Christ Child, St - Amsterdam;Hameel, Alaert du (1449 - 1509), or Duhamel or Duhameel;1459 -1509;Engraving;20 x 33,5
694;Christopher Carrying the Christ Child, St - Kreuzlingen - Private collection;Wellens de Cock, Jan (1478 - c. 1528);;Oil on wood panel;32, 5 x 56,5
695;Christopher Carrying the Christ Child, St - La Rochelle;Mandijn Jan (c. 1500 - 1560);1520 - 1530;Oil on wood panel;45 x 59,5
696;Christopher Carrying the Christ Child, St - London - Sotheby's;Wellens de Cock, Jan (1478 - c. 1528);1520 -1525;Oil on oak panel;35,7 x 45,9
697;Christopher Carrying the Christ Child, St - Nantes;Anonymous - circle Jheronimus Bosch;16th century - Early;Oil on panel;42,3 x 26,5
698;Christopher Carrying the Christ Child, St - Vienna - Dorotheum;Wellens de Cock, Jan (1478 - c. 1528);;Oil on Canvas;30 x 39,5
699;Christopher in a fantasy Landscape, St - Dijon;Anonymous - Probably Pieter Huys;;Oil on panel;15 x 25
700;;Brothers Van Doetecum;1561;Engraving;32,7 x 43,2
701;Christopher or Anthony, The Temptations of St - London;Doetecum, Johannes ( active 1554 - 1605) and/or Lucas (active 1554 - 1572);1561;Etching - Engraving;32,9 x 43,3
702;Christopher St - closed Wings Triptych - Amsterdam;Jan Wellens de Cock (1480 - 1527) - Follower;1520-1530;Oil on wood;painted surface: h 37 cm (centre panel) × w 25.5 cm (centre panel) × h 32.5 cm (left wing) × w 10 cm (left wing) × h 31.8 cm (right wing) × w 9.7 cm (right wing)
703;Christopher St - Lugano;Anonymous - probably from Antwerp (Unverfehrt);c. 1530;Oil on Panel;60 x 70
704;Christopher St - Whereabouts unknown;Anonymous - Follower of Herri met de Bles (c. 1480/1510 - c. 1550/1555);16th-century;Oil on panel;46,5 x 56,5
705;Christopher St carries the Christ child - Paris - Art Dealer Lassagoiti or Larrgoiti;Mandijn Jan (c. 1500 - 1560);1525-1550;Oil on panel;95 x 130
706;Christopher St, with the Christ Child - Whereabouts unknown;Anonymous;16th-century;Oil on panel;95 x 130 - according note Friedlander 70 x 94
707;Christopher Triptych, St - with St Jerome and St Anthony - Antwerp;Anonymous;1510 - 1520;Oil on wood;Central panel 51 x 39,9; Side panels 50,1 x 15,7
708;Christopher, Landscape with St - Escorial;Patinir, Joachim (ca. 1480 - 1524);c. 1520-1522;Oil on panel;127 x 172 - Unverfehrt 100 x 150
709;Christopher, Landscape with St. - Worlitz;Anonymous;16th-century;Oil on panel;31,8 x 45,2
710;Christopher, St - Amsterdam;Anonymous - After Jan Wellens de Cock (1480 - 1527);1506-1578;Engraving and Etching;25,9 x 31,8
711;Christopher, St - Barcelona;Anonymous;16th-century;;
712;Christopher, St - Breda;Anonymous - South-Netherlands;1525-1550;Oil on panel;44 x 67
713;Christopher, St - London;Patinir, Joachim (ca. 1480 - 1524) - Workshop;1530-1540;Oil on panel;46,2 x 61,5
714;Christopher, St - Madrid;Anonymous;;Oil on wood;45 x 20
715;Christopher, St - Paris / Geneva;Wellens de Cock, Jan (1478 - c. 1528);;;56 x 93
716;Christopher, St - Whereabouts unknown;Jan Mandijn (c. 1500 - 1560) - Probably;;Panel;45 x 34
717;Christopher, St with the Christchild - Rotterdam;Jan (Claudius Wellens) de Cock (1480 - 1527) - After;1580-1620;Engraving - Etching;24,3 x 32,1
718;Christopher, St.;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);;Oil on panel, diamond shaped;29,8 x 29,8
719;Christopher, St. - London - Sotheby's - 2021;Jan Wellens de Cock - Follower;;Oil on oak panel;32,5 x 46,9
720;Christopher, The Temptations of St - 's-Hertogenbosch;Mandijn Jan (c. 1500 - 1560) or Huys, Pieter (c. 1519 - 1584);c. 1550;Oil on wood;31 x 46
721;Christopher, The Temptations of St - Brussels - Palais de Beaux-Arts;Jan Mandijn (c. 1500-1560);1525-1550;Oil on wood;32 x 46
722;Christopher, The Temptations of St - Brussels - Private collection;Anonymous;c. 1525;Oil on wood;31 x 46
723;Christopher, The Temptations of St - Houston;Anonymous;c. 1520;Oil on panel;57,2 x 79,4
724;Christopher, The Temptations of St - Kreuzlingen - Private collection;Mandijn Jan (c. 1500 - 1560);;Oil on wood panel;29,5 x 43,2
725;;Mandijn Jan (c. 1500 - 1560) or follower;1530 - 1580;Oil on wood;58,7 x 76
726;Christopher, The Temptations of St - London - Bonhams;Huys, Pieter (1519 - 1581) or Follower;1550 -1600;Oil on panel;84,1 x 114
727;Christopher, The Temptations of St - London - Sotheby's;Wellens de Cock, Jan (1478 - c. 1528);c. 1525;Oil on panel;37,5 x 48
728;Christopher, The Temptations of St - Los Angeles;Mandijn Jan (c. 1500 - 1560);1530 - 1550;Oil on panel;34,29 x 46,36
729;Christopher, The Temptations of St - Metz;Mandijn Jan (c. 1500 - 1560) or Huys, Pieter (c. 1519 - 1584);Before 1584;Canvas;138,5 x 177
730;Christopher, The Temptations of St - Munich;Mandijn Jan (c. 1500 - 1560) or Huys, Pieter (c. 1519 - 1584);1540 - 1550;Oil on wood;142,5 x 179
731;Christopher, The Temptations of St - New York - Christies 2015;Anonymous - Maybe Pieter Balten(s);;Oil on panel;64 x 94
732;Christopher, The Temptations of St - St Petersburg;Mandijn Jan (c. 1500 - 1560);Early 16th century;Oil on panel;71 x 98,5
733;Christopher, The Temptations of St - Turin;Wellens de Cock, Jan (1478 - c. 1528);;;
734;Christopher, The Temptations of St - Winterthur;Huys, Pieter (1519 - 1581);c. 1540;Oil on panel;23 x36
735;Christopher, The Temptations of St Lucerne / Luzern;Anonymous - probably Jan Wellens de Cock (1480 - 1527);c. 1525;Oil on panel;66 x 66
736;Concert in a Mussel Shell, The - 's-Hertogenbosch;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1562;Paper and ink;19,9 x 28,8
737;Concert in a Mussel Shell, The - Amsterdam;Jan Theodoor de Brij (1561 - 1623) - also called Bry or Brey;1596;Engraving on paper;10,8 x 9,8
738;Concert in a Mussel Shell, The - Amsterdam;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1562;Engraving -paper;19,5 x 28,6
739;Concert in a Mussel Shell, The - Rotterdam;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1562;Engraving;19,6 x 28,7
740;Concert in the Egg, The - Basel - Private collection;Anonymous;16th century;Oil on panel;80 x 100
741;Concert in the Egg, The - Berlin;Anonymous;1510-1525 - Possibly Jheronimus Bosch;Pen and brown ink;25,7 x 17,6
742;Concert in the Egg, The - Chicago 2021;Anonymous;17/18th-century;Oil on wood panel;c. 30 x 40
743;Concert in the Egg, The - Lille;Anonymous;c. 1561;Oil on canvas - transferred from panel to canvas;108,5 x 126,5
744;Concert in the Egg, The - Paris - Drouot;Anonymous;c. 1561;Oil on oak;107 x 73
745;Conjurer, The - Amsterdam;Bos, Balthasar van den (1518 - 1580) Als written Bosch.;c. 1550;Engraving;24,4 x 32,3
746;;Anonymous - Possibly Lambert Lombard;16th-century;Pen in light brown, touched with black pen and paper;28,5 x 21,3 - Koreny 28,3 x 20,9
747;Conjurer, The - Jerusalem;Anonymous;16th century;Oil on panel;83,5 x 114
748;Conjurer, The - Munich;Balthasar van den Bos (1518 - 1580) - also written Bosch;c. 1550;Engraving - paper;23,8 x 32
749;Conjurer, The - Paris;Anonymous;1465 - 1516;Brown pen;27,8 x 20,2
750;Conjurer, The - Philadelphia;Anonymous;1540 - 1550;Oil on panel;105,4 x 138,7
751;Conjurer, The - Private collection - California;Anonymous;c. 1550;Oil on panel;36,8 x 31,1; Tondo in rectangular grisaille frame
752;Conjurer, The - Vienna;Bos, Balthasar van den (1518 - 1580) - also written Bosch;1525-1580;Engraving;
753;Conjurer, The (fragment) - Vienna - Dorotheum;Anonymous;16th century;Oil on panel;53 x 53
754;Cristoffer, St. - Antwerp;Patinir, Joachim (ca. 1480 - 1524);c. 1522;Oil on panel;48 x 59,5
755;Cure of Folly, The - 's-Hertogenbosch;Anonymous;1552 -1600;Oil on oak panel;41,3 x 30,9
756;Cure of Folly, The - Amsterdam;Pieter van der Heijden - After Pieter Bruegel;1559;Engraving - paper;33,3 x 46,8
757;Cure of Folly, The - Antwerp/Brussels - Lambrechts;Anonymous;1551-1600;Oil on wood;28 x 29
758;Cure of Folly, The - Bailleul;Anonymous;c, 1550;Oil on wood;Tondo 45 cm diameter
759;Cure of Folly, The - Berlin - Helbing;Marcellus Coffermans (1520-1575);1540-1560;Oil on panel;29,5 cross-cut
760;Cure of Folly, The - Budapest;Bruegel, Pieter the Elder (1525 - 1569);1556;Oil on panel;74 x 103
761;Cure of Folly, The - London;Huys, Pieter (1519 - 1581);1561;Oil on panel;106 x 133,5
762;Cure of Folly, The - London - Christies;Marcellus Coffermans (1520-1575);c. 1550;Oil on panel;37 x 27 - 36 x 24 (Unverfehrt)
763;Cure of Folly, The - Madrid;Sanders van Hemessen, Jan (1500 - 1575/1579);1550-1555;Oil on panel;100 x 141
764;Cure of Folly, The - Madrid;David Teniers The Younger (1610-1690);17th-century;Oil on panel;38 x 61
765;Cure of Folly, The - New York - Art Dealer Sperling;Anonymous;16th-century;Oil on Panel;18,5 x 25
766;Cure of Folly, The - New York - Art Dealer Weitzner;Anonymous;16th-century;Oil on Panel;
767;Cure of Folly, The - New York - Christies;Anonymous;;Oil on panel;49,3 x 35,5
768;Cure of Folly, The - Perigueux;Huys, Pieter (1519 - 1581);1561?;Oil on panel;106 x 133,5 ?
769;Cure of Folly, The - Prague;Anonymous;c. 1685;;
770;Cure of Folly, The - Rotterdam;Anonymous;After 1616;Engraving;30,9 x 38,6
771;Cure of Folly, The - Rotterdam;Anonymus after Bruegel, Pieter the Elder (1525 - 1569);1557;Etching - Engraving;28,1 x 40,3
772;Cure of Folly, The - Rotterdam;Jan Theodoor de Brij (1561 - 1623) - also called Bry or Brey;1596;Engraving;9,8 x 9,6
773;Cure of Folly, The - Rotterdam;Francois Verwilt (1620 - 1691);1660;Oil on panel;48,8 x 37
774;Cure of Folly, The - Rotterdam;Maerten de Vos (1552 - 1603);1580-1600;Engraving;19,8 x 26,4
775;Cure of Folly, The - Saint Omer;Bruegel, Pieter the Elder (1525 - 1569);c. 1557;Oil on wood;77 x 107
776;Cure of Folly, The - Sankt Gallen;Quast, Pieter Jansz. (1606 - 1646);;Oil on Copper;19,5 x 28,5
777;Cure of Folly, The - St Petersburg;Brouwer, Adriaen (1605/1606 - 1638);c. 1620;Oil on panel;28,2 x 25
778;Cure of Folly, The - Washington;Anonymous;1720;;
779;Cure of Folly, The - Washington;Pieter van der Heijden - After Pieter Bruegel;1559;Engraving - New Hollstein, no. 38, V/V;23,6 x 30,4
780;Cure of Folly, The - Whereabouts unknown;Anonymous;After 1616;Engraving;30,9 x 38,6
781;Cure of Folly, The - Whereabouts unknown;David Teniers The Younger (1610-1690);;Oil on canvas;
782;Cure of Folly, The - Zug;Quast, Pieter Jansz. (1606 - 1646);;Etching;
783;Cure of Folly. The - Rotterdam;Jan Steen Havickzn. (1626 - 1679);c. 1675;Oil on panel;36,5 x 45,6
784;Dancing Peasant Couple (verso) - Five grotesque figures (recto) - London;Anonymous;1560-1580;Pen and brush on paper;12,4 x 20,3
785;David and Abigail - Salomon and Bathseba - Private collection;Anonymous - or possibly Gielis Panhedel (1490 - 1557);c. 1550;Oil on panel;51 x 37 (both panels)
786;Death of the Miser - Paris;Anonymous;c. 1500;Brush in grey ink, white raised, on grey paper;25,5 x 15
787;Dis leaving Tartarus - Prague;Joseph Heintz de J. (1600 - 1678);;;
788;Dream - Raphael's Dream - Private collection;Anonymous Flemish Painter;;;
789;Dream of Rafael, The - Cambridge;Raimondi Marcantonio (1480 - 1534);1507 -1510;Engraving;23 x 33
790;Dream of Rafael, The - Los Angeles;Raimondi Marcantonio (1480 - 1534);;Engraving;23 x 33
791;Dream, The - Dresden;Dossi, Battista (1491 - 1548);1534;;
792;Dream, The - Vienna;After Battista Dossi;;Oil on canvas;88 x 143
793;Eaters of Sausages and Fat, The - Glasgow;Verbeeck, Jan (1510 - 1570);;Engraving;19,7 x 29
794;Ecce Homo - Christ shown the people - Lima;Anonymous;;Oil on panel;
795;;Anonymous;;Oil on panel;84 x 61,5
796;Ecce Homo - Indianapolis;Anonymous;c.1510;Oil on panel;61,5 x 52
797;Ecce Homo - London - Art Dealer Turner;Anonymous;;Oil on panel;68,6 x 52
798;Ecce Homo - Nuremberg;Bartholomeus Bruyn the Elder (1493 - 1555);1540;Oil on panel;107 x 78,3
799;Ecce Homo - Philadelphia;Anonymous;1540 - 1550;Oil on panel;52,1 x 54
800;Ecce Homo - Private collection;Anonymous;16th century;Oil on panel;
801;Ecce Homo - Uden/Amsterdam;Anonymous;1530-1550;Oil on panel;73 x 54,5
802;Ecce Homo - Valenciennes;Anonymous;16-17th - century;Oil on wood;78,2 x 58,9
803;Ecce Homo - Venice;Quentin Massys (1456/1466 - 1530);1526;Oil on panel;95 x 74
804;Ecce Homo - Vienna - Dorotheum;Anonymous;;Oil on panel;52 x 74
805;Ecce Homo - Whereabouts unknown;Anonymous;;Oil on Panel;62,5 x 53
806;Ecce Homo (central panel of a triptych ?) - Genova;Anonymous;16th-century;Oil on Panel;
807;Ecce Homo (central panel of a triptych) - Boston;Anonymous;1496 - 1500;Oil on panel;75 x 58,4 (Central panel) ; 68,6 x 26 (Left panel); 68,6 x 28 (right panel) ; 14 x 66,2 (Predella)
808;Elephant Costume - A design for a musical - London;Leonardo da Vinci (1452 - 1519);1507;Material: Pen and ink and black chalk;19,8 x 28,1
809;Eve being seduced by the serpent - Private collection in New York;Anonymous;;Drawing;13,3 x 10
810;Expulsion of the Merchants from the Temple, The - Copenhagen;Anonymous;1563-1569;Oil and tempera on panel;100,2 x 155,5
811;Expulsion of the Merchants from the Temple, The - Glasgow;Anonymous;1570 or later;Oil on wood;77,7 x 60
812;Expulsion of the Merchants from the Temple, The - London - Sotheby's;Anonymous;1550-1580;Oil on wood;11,7 x 173,1
813;Expulsion of the Merchants from the Temple, The - Talinn;Anonymous;c. 1570;Oil on wood;91 x 150
814;Fall of the Rebel Angels, The - Amsterdam - Christies;Follower Pieter Bruegel;;Oil on panel;48,4 x 63,8
815;Fall of the Rebel Angels, The - Brussels;Bruegel, Pieter the Elder (1525 - 1569);1562;Oil on panel;117 x 162
816;Fantasy - Figures (28) - Detroit;Anonymous;15/16th-century;Engraving printed in black ink on laid paper;21 x 31,3 (Institute 21 x 21,3)
817;Fantasy Figures - Kansas City;Frans Verbeeck (c. 1510 - 1570);c. 1520;Graphite on paper;27,9 x 42,5
818;;Anonymous - Possibly Lambert Lombard;16th-century;Ink on paper;8,3 x 25,3
819;Flight into Egypt, The - Prague;Panhedel, Gielis (1490 - 1557) or Anonymous;c. 1500;;
820;Fool on an Egg - Antwerp;Pieter Bruegel the Younger (1564-1638);16th century;Oil on panel;17 x 17
821;Fool on an Egg - London;Anonymous - After Pieter Bruegel;c. 1569;Pen and brown India ink on paper;17,5 x 17,9
822;Fools' Trade, The (De Narrenhandel) - Vienna - Dorotheum;Verbeeck, Frans the Old (1510 - 1570);c. 1550;Tempera on canvas or Oil on canvas (Dorotheum);132 x 186
823;Four Last Things, The - Amsterdam;Wierix, Hieronymus (1553 - 1619);1563 - before 1619;Engraving;13,2 x 8,9
824;Garden of Earthly Delights - Hell - London - Cristies 2022;Anonymus;;Oil on panel;33,6 x 25,4
825;Garden of Earthly Delights, The (copy of the central panel) - Budapest;Anonymous;Before 1568;Oil on wood;166 x 158
826;Garden of Earthly Delights, The (copy of the central panel) - Germany - Private collection;Anonymous;1550 - 1560;Oil on wood transferred to Canvas;183 x 168
827;Garden of Earthly Delights, The (copy of the central panel) - London;Anonymous;1550 - 1600;Oil on wood;131,8-132,3 x 113,5 (Wellcome Library)
828;Garden of Earthly Delights, The (copy of the central panel) - Private collection;Coxcie or Coxie, Michiel (1499 - 1592);Before 1550;Oil on wood;184 x 178
829;Garden of Earthly Delights, The (copy of the central panel) - St Petersburg;Anonymous;1556 - 1568;Oil on wood;66 x 51
830;Garden of Earthly Delights, The (copy of the left interior panel) - Madrid;Anonymous - Workshop of Jheronimus Bosch or Coxcie or Coxie, Michiel (1499 - 1592);Before 1550;Oil on panel;186 x 77
831;Garden of Earthly Delights, The (fragment) - New York;Anonymous;;Oil on paper, mounted on canvas;24,5 x 22
832;Garden of Earthly Delights, The (tapestry copy of the interior panels) - Madrid;Anonymous;1550 - 1570;Tapestry;288 x 490
833;Garden of Eden, The - Amsterdam / Maastricht;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1541 - 1550;Oil on panel;46,6 x 45,5; Cross-cut Tondo: 47
834;Garden of Eden, The - Chicago;Anonymous - circle Jheronimus Bosch;1510 - 1520;Oil on panel;27 x 40,6
